Gene source	Gene target
CFTR	GNB2L1
RIPK1	RPL23
TRADD	RPS3
ACTB	EIF4A2
ACTB	RPL22
SMAD4	MYOD1
IKBKB	HSPA1B
HDAC1	ZBTB16
IKBKG	MAP3K14
CRK	PAK1
YWHAQ	RAF1
PDPK1	PRKCZ
EPOR	GNB2L1
APC	UBA52
MAP3K8	MAP3K14
CTNNB1	UBA52
MAPKAPK2	EIF4E
ILK	AKT1
IRS1	AKT1
RELA	MYC
MAPK1	BCL2
IKBKB	C1QBP
RPS24	RPS6
LSM2	ZBTB16
STAU1	RPS6
HLA-B	MAPK1
YWHAG	NCBP1
YWHAB	SFRS3
ITGB1	GNB2L1
PAK1	HSP90AB1
VAV1	XRCC6
IKBKB	ACTG1
PLSCR1	ZBTB16
RPS6	RPL26
GSTK1	PABPC1
ACTB	EIF3S8
IL2RB	IGF1R
TBK1	LOC388344
MYC	HNRPK
PDPK1	AKT1
GRB2	RPS3A 
GH1	CALM1
YWHAG	RPL3
IKBKG	RPS3A 
NOV	IGF1
NFKB2	RPS14
ACTB	RPS10
CCNA2	UBA52
IKBKB	CALM3
MAP2K4	MAP3K1
EIF3S3	SLC25A6
TSC2	PAK1
RPS6	RPL6
GRB2	PAK1
GSK3B	RPS27A
NCBP2	HNRPK
UBQLN2	TRIM24
PTPN11	IGF1R
ACTB	RPS18
PABPC1	SF3B1
ITGB1	THBS1
GSTK1	CYCS
NCBP2	SFRS1
RPS6	EIF4A1
MAP3K1	IKBKB
LYAR	RPL18A
PAK1	MAP3K11
IRAK1	AKT1
MAPK1	HSP90AA1
CASP8	CHUK
RPS6	NCBP2
PIK3R1	PDPK1
RPS6	ITGB1
HNRPD	PABPC1
PXN	CRKL
RPS6	RPL27A
RIPK2	RPS14
GRB2	RPS8
HIF1A	HSP90AA1
TNFRSF1A	RPS27A
NDRG1	XRCC6
MAPK1	RPS6KB1
GRB2	RPL23A
MAP3K14	MAP3K7
CUL1	UBA52
TBK1	PABPC1
PAK1	CDK2
IKBKE	RPL32
MAP3K14	IKBKG
NCBP2	SF3B1
TP53	PPP2CA
RELA	RPL27
TNFRSF1A	RPS3
SKP1A	UBA52
GSK3B	GEMIN4
HSP90AB1	RPS6
EIF1B	CDC37
MAPKAPK2	HSPA1B
RPS6	RPL18A
BCL3	JUN
NEDD4	IGF1R
PDPK1	PRKCD
HSP90AB1	RPL7
TRAF2	MAP3K1
AKT1	FRAP1
GRB2	RPL7
YWHAZ	RPL31
TNIK	DISC1
PPP2CA	RPS6KB1
RAF1	BCL2
EPOR	PTPN11
PRKAB1	CYCS
ACTB	EIF3S12
RPS6	RPL3
CDC25A	UBA52
LYN	PIK3CG
RIPK2	HSPA1B
PIK3R1	NFKBIA
LIMS1	ILK
RPS12	RPS6
TGFBR1	UBA52
IGFBP6	IGF1
MAP3K7	RPS3
FRAP1	RPS6KB1
GSK3B	SNRP70
PTK2	ITGB1
GSK3B	PHYHIP
ZBTB16	CDC2
IKBKG	YWHAZ
IKBKG	RPS10
GRB2	PABPC1
MAPKAPK2	EIF4G1
YWHAG	SFRS4
HLA-B	CYCS
EGFR	PXN
MYC	XPO1
FTSJ1	CYCS
YWHAG	SFRS3
EIF4E	RNPS1
RPL5	CSNK2A1
IKBKE	EIF2S3
GRB2	RPS11
VHL	RPL18A
RPS6	"LOC388143;LOC389156;LOC728782;LOC729402;LOC728501"
RPS19	RPS6
EGFR	RPS27A
PDPK1	HSP90AA1
